Handle,Social Network,Profile Name,Avatar URL,Followers,Posts,Value Per Fan,Total Value € Jan 2026,Category,URL
sergioramos,tiktok,Sergio Ramos,https://cdn.horizm.com/clubs/3089_6491fac552dcf,21391514,1,0.0005,11189,Athlete,https://www.tiktok.com/@sergioramos
ronaldinho,tiktok,Ronaldinho,https://cdn.horizm.com/clubs/399_6491b093ee83f,21312926,4,0.0002,3699,Athlete,https://www.tiktok.com/@ronaldinho
rafaelnadal,instagram,Rafa Nadal,https://cdn.horizm.com/clubs/411_6491b12a07e4d,21303893,6,0.0037,78223,Athlete,https://www.instagram.com/rafaelnadal/
richarlison,instagram,Richarlison,https://cdn.horizm.com/clubs/1760_6491d5c06145c,21165720,2,0.0094,199161,Athlete,https://www.instagram.com/richarlison/
thiagosilva,instagram,Thiago Silva,https://cdn.horizm.com/clubs/2254_6491e467e0dc7,21001673,10,0.0060,125732,Athlete,https://www.instagram.com/thiagosilva/
yuvisofficial,instagram,Yuvraj Singh,https://cdn.horizm.com/clubs/5172_64d611a31c8b5,20903538,4,0.0017,34730,Athlete,https://www.instagram.com/yuvisofficial/
pedri,instagram,Pedri,https://cdn.horizm.com/clubs/1547_6491d301303de,20702583,2,0.0072,148776,Athlete,https://www.instagram.com/pedri/
memphisdepay,instagram,Memphis Depay,https://cdn.horizm.com/clubs/1884_6491da5c2f374,20416871,5,0.0199,406554,Athlete,https://www.instagram.com/memphisdepay/
kyrieirving,instagram,Kyrie Irving,https://cdn.horizm.com/clubs/3113_6491fb548d7eb,20282991,8,0.0091,185167,Athlete,https://www.instagram.com/kyrieirving/
fedevalverde,instagram,Federico Valverde,https://cdn.horizm.com/clubs/2387_64b628204e928,20079904,5,0.0218,438044,Athlete,https://www.instagram.com/fedevalverde
shikhardofficial,instagram,Shikhar Dhawan,https://cdn.horizm.com/clubs/2980_6491f7fbc64e3,19702413,8,0.0171,336390,Athlete,https://www.instagram.com/shikhardofficial/
kingarturo23oficial,instagram,Arturo Vidal,https://cdn.horizm.com/clubs/2825_6491f38409dc4,19599451,20,0.0107,208745,Athlete,https://www.instagram.com/kingarturo23oficial/
dwyanewade,instagram,Dwayne Wade,https://cdn.horizm.com/clubs/3120_6491fb910278a,19569534,11,0.0154,302280,Athlete,https://www.instagram.com/dwyanewade/
keylornavas1,instagram,Keylor Navas,https://cdn.horizm.com/clubs/6293_653123e34cb84,19517660,8,0.0046,88943,Athlete,https://www.instagram.com/keylornavas1
surya_14kumar,instagram,Suryakumar Yadav,https://cdn.horizm.com/clubs/1568_6491d3799bd9f,19444644,11,0.0155,301489,Athlete,https://www.instagram.com/surya_14kumar/
o.dembele7,instagram,Ousmane Dembele,https://cdn.horizm.com/clubs/1773_6491d623891a0,19358963,1,0.0023,44085,Athlete,https://www.instagram.com/o.dembele7/
official_pepe,instagram,Pepe,https://cdn.horizm.com/clubs/2353_6491e7037d4fc,19203520,2,0.0008,14813,Athlete,https://www.instagram.com/official_pepe/
canelo,instagram,Canelo Alvarez,https://cdn.horizm.com/clubs/4160_649bd5ee279c7,19137036,8,0.0221,422268,Athlete,https://www.instagram.com/canelo/
pablogavi,instagram,Gavi,https://cdn.horizm.com/clubs/1576_64a2765e572bc,18882037,3,0.0104,195765,Athlete,https://www.instagram.com/pablogavi/
anthonyjoshua,instagram,Anthony Joshua,https://cdn.horizm.com/clubs/414_6491b15258ab4,18747294,3,0.1067,2000993,Athlete,https://www.instagram.com/anthonyjoshua/
juliaanalvarez,instagram,Julian Alvarez,https://cdn.horizm.com/clubs/1756_6491d5b7a12c1,18433227,7,0.0112,205677,Athlete,https://www.instagram.com/juliaanalvarez/
